"Kyurem" "Staraptor" "Fraxure"
"Buizel" "Gliscor" "Stunfisk"
"Tirtouga" "Absol" "Togekiss"
"Porygon" "Riolu" "Porygon"
"Illumise" "Vulpix" "Rhyhorn"
"Tepig" "Gorebyss" "Druddigon"
"Kabutops" "Magcargo" "Whirlipede"
"Electabuzz" "Munna" "Gallade"
"Absol" "Lumineon" "Shuckle"
"Kingdra" "Dialga" "Altaria"
"Pelipper" "Crobat" "Joltik"
"Dialga" "Girafarig" "Qwilfish"
"Zebstrika" "Sawsbuck" "Duskull"
"Poliwag" "Shellder" "Shellos"
"Croagunk" "Rotom" "Duskull"
"Regice" "Marill" "Alomomola"
"Goldeen" "Nidoran♂" "Lileep"
"Swadloon" "Furret" "Lucario"
"Probopass" "Feraligatr" "Farfetch'd"
"Zapdos" "Whimsicott" "Shellos"
"Lickilicky" "Kyogre" "Blissey"
"Escavalier" "Noctowl" "Rattata"
"Altaria" "Drifblim" "Terrakion"
"Nosepass" "Sentret" "Machop"
"Huntail" "Ditto" "Magnezone"
"Lampent" "Gallade" "Staraptor"
"Nidoran♂" "Glalie" "Forretress"
"Genesect" "Parasect" "Cryogonal"
"Ninjask" "Raichu" "Whirlipede"
"Tentacool" "Mr. Mime" "Dusclops"
"Pawniard" "Jolteon" "Snorunt"
"Diglett" "Treecko" "Haxorus"
"Golurk" "Kakuna" "Mothim"
"Marill" "Gallade" "Swellow"
"Pidgeot" "Mothim" "Bibarel"
"Magnezone" "Meloetta" "Dwebble"
"Walrein" "Escavalier" "Numel"
"Slaking" "Sentret" "Deerling"
"Walrein" "Marowak" "Beldum"
"Dusknoir" "Lampent" "Espeon"
"Spiritomb" "Loudred" "Crustle"
"Igglybuff" "Drowzee" "Bellossom"
"Ralts" "Tyrogue" "Magneton"
"Dodrio" "Aggron" "Lickitung"
"Purrloin" "Mienshao" "Dodrio"
"Genesect" "Groudon" "Piplup"
"Nidoqueen" "Gliscor" "Dragonite"
"Ampharos" "Seedot" "Trubbish"
"Breloom" "Giratina" "Gardevoir"
"Octillery" "Cobalion" "Pignite"
"Galvantula" "Pinsir" "Totodile"
"Makuhita" "Skiploom" "Haunter"
"Octillery" "Jolteon" "Caterpie"
"Venomoth" "Phanpy" "Tynamo"
"Larvitar" "Vibrava" "Wailmer"
"Cherrim" "Bonsly" "Cacturne"
"Kadabra" "Jellicent" "Gyarados"
"Vulpix" "Blastoise" "Politoed"
"Tynamo" "Illumise" "Emolga"
"Deerling" "Flareon" "Deino"
"Mime Jr." "Latias" "Starmie"
"Sunkern" "Lunatone" "Meganium"
"Torkoal" "Mew" "Musharna"
"Bronzor" "Monferno" "Igglybuff"
"Seviper" "Groudon" "Magnemite"
"Axew" "Sawsbuck" "Drifblim"
"Steelix" "Gligar" "Gigalith"
"Wingull" "Braviary" "Girafarig"
"Weezing" "Cleffa" "Staravia"
"Growlithe" "Flygon" "Gallade"
"Crustle" "Nuzleaf" "Cyndaquil"
"Arbok" "Lickilicky" "Poliwrath"
"Mesprit" "Lilligant" "Mesprit"
"Drilbur" "Magmortar" "Yanma"
"Ferrothorn" "Poochyena" "Herdier"
"Kyurem" "Ledyba" "Surskit"
"Ledian" "Zweilous" "Remoraid"
"Magmortar" "Omanyte" "Chimecho"
"Typhlosion" "Absol" "Squirtle"
"Electivire" "Druddigon" "Tauros"
"Flygon" "Minccino" "Samurott"
"Garbodor" "Lickitung" "Smeargle"
"Chingling" "Noctowl" "Onix"
"Primeape" "Sudowoodo" "Butterfree"
"Regigigas" "Nosepass" "Wormadam"
"Mewtwo" "Chansey" "Meowth"
"Frillish" "Butterfree" "Shelgon"
"Typhlosion" "Krookodile" "Girafarig"
"Empoleon" "Cradily" "Trapinch"
"Charmander" "Donphan" "Bellsprout"
"Vulpix" "Cinccino" "Dewgong"
"Alomomola" "Mantyke" "Frillish"
"Probopass" "Bayleef" "Chingling"
"Nidoran♀" "Krabby" "Shieldon"
"Swellow" "Lillipup" "Salamence"
"Tentacruel" "Meganium" "Skiploom"
"Ivysaur" "Wooper" "Roserade"
"Raichu" "Bellossom" "Swampert"
"Unfezant" "Banette" "Abomasnow"
"Spoink" "Mime Jr." "Trapinch"
"Huntail" "Lucario" "Elekid"
"Chikorita" "Ludicolo" "Oshawott"
"Aipom" "Pansear" "Registeel"
"Vanilluxe" "Forretress" "Glameow"
"Weedle" "Castform" "Volbeat"
"Chimecho" "Snivy" "Bidoof"
"Pansage" "Dusclops" "Blitzle"
"Psyduck" "Basculin" "Whirlipede"
"Zorua" "Ninetales" "Aipom"
